episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
41,2265679.831438831,316648.5219768706,1949031.3094619606,-0.38134102152100563,-0.13725736207875752,205.9554011594937,262.231409293814,0.8420477975775125,2867.106788707153,0.0,,232005.66098233985,2461722.1683673626,7363420.245771632,513173.3266585708,232005.66098233985
42,2324778.196954515,476214.1820114654,1848564.0149430498,-0.39007951399218294,-0.13750882936309758,206.27567827609766,261.85540153311285,0.8414877803716662,2750.276808947033,0.0,,233134.3203112515,2462740.206533125,7369901.147913502,515669.80825315526,233134.3203112515
43,2414350.262020349,719213.747471438,1695136.514548911,-0.3974847352093405,-0.1378143998338343,206.7624484564715,262.1111253289168,0.8420375329559728,2651.3759145993963,0.0,,233702.76203306144,2463133.3940664427,7371042.607007287,516927.1445102001,233702.76203306144
44,2511596.7777354764,984701.7881395165,1526894.9895959601,-0.4028904180604485,-0.13731330880619044,205.98729104180782,262.1447340697475,0.8422957254114356,2688.8715625368754,0.0,,232993.43440994876,2465306.0079442905,7371314.066229117,515358.1827249475,232993.43440994876
45,2608080.11092879,1240299.702902428,1367780.4080263618,-0.40658889271955573,-0.13807681027578722,207.13227966729937,263.0896023287501,0.8418291893518476,2650.981435839986,0.0,,232257.75913912355,2463871.4120073486,7369501.505907277,513730.9425771368,232257.75913912355
46,2677793.9277435327,1440519.6607404691,1237274.2670030633,-0.40673838034049115,-0.13689181867416952,205.3718360062044,262.7098344798387,0.8424526252560407,2665.8582155012173,0.0,,234096.696890036,2461408.0817410545,7377562.72771719,517798.4890290555,234096.696890036
47,2725832.4595593335,1565460.1546293586,1160372.3049299752,-0.4032219794098944,-0.13762774243900333,206.4668740381047,261.8219340949641,0.8417661412761192,2646.521564390517,0.0,,232231.49518569495,2462744.883454428,7363762.87880805,513672.84933796717,232231.49518569495
48,2744071.067062846,1614866.4411863252,1129204.6258765203,-0.39871178526350964,-0.13737569385290557,206.10262347066487,262.6548380201821,0.8417211684553093,2730.9825879399564,0.0,,233242.2416805554,2465353.484060343,7370707.043354873,515908.51953230565,233242.2416805554
49,2704026.4169058213,1513045.8368242993,1190980.5800815225,-0.4022945582766865,-0.1371841617437511,205.79719435988108,261.9630407180075,0.8422790106276677,2591.4838279431665,0.0,,233101.23604984855,2463239.290258347,7370854.681772272,515596.6291746263,233101.23604984855
50,86248.02273638081,38527.7007661524,47720.32197022841,-0.4335815782439947,-0.14660038906185435,219.90058359278152,261.50387719641753,0.6944305150747994,2211.7778138834174,0.0,,231702.236424196,2464201.307231156,7362124.478045555,512502.1818717009,231702.236424196
