pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly
0.0,0.0,659,659.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,659.0,659.0,20.0,400.0,0.0,HFP,0.28,184.52,0.0,0.0,0.0,1.0,0.0,659.0,659.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,594,594.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,594.0,594.0,20.0,400.0,0.0,HFP,0.28,166.32000000000002,0.0,0.0,0.0,1.0,0.0,594.0,594.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,605,605.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,605.0,605.0,20.0,400.0,0.0,HFP,0.28,169.4,0.0,0.0,0.0,1.0,0.0,605.0,605.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,553,553.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,553.0,553.0,20.0,400.0,0.0,HFP,0.28,154.84,0.0,0.0,0.0,1.0,0.0,553.0,553.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,563,563.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,563.0,563.0,20.0,400.0,0.0,HFP,0.28,157.64000000000001,0.0,0.0,0.0,1.0,0.0,563.0,563.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,536,536.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,536.0,536.0,20.0,400.0,0.0,HFP,0.28,150.08,0.0,0.0,0.0,1.0,0.0,536.0,536.0,0.0,0.0,0.0,0.0,OK
143.49854189830646,0.0,622,622.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,622.0,622.0,20.0,400.0,0.0,HFP,0.28,174.16000000000003,0.0,0.0,0.0,1.0,0.0,622.0,622.0,0.0,0.0,0.0,0.0,OK
914.6503157530964,0.0,757,757.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,242.34968424690362,242.34968424690362,20.0,400.0,0.0,HFP,0.28,211.96,0.0,0.0,0.0,1.0,0.0,757.0,757.0,0.0,0.0,0.0,0.0,OK
1950.986695440056,0.0,1110,1110.0,0.0,0.0,0.0,440.9866954400561,0.0,idle,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,HFP,0.28,310.8,0.0,0.0,0.0,1.0,0.0,1110.0,1110.0,0.0,0.0,0.0,0.0,OK
2447.9804238713928,68.82,1258,1326.82,68.82,389.8717737923585,1258.0,721.1604238713926,400.0,charge,0.0,0.0,0.0,0.0,0.0,39.49358868961792,789.8717737923586,0.0,HFP,0.28,371.50960000000003,0.0,0.0,109.1640966618604,1.0,68.82,1258.0,1326.82,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2886.689477778584,59.644000000000005,1903,1962.644,59.644000000000005,389.8717737923585,1903.0,524.0454777785844,400.0,charge,0.0,0.0,0.0,0.0,0.0,58.987177379235845,1179.743547584717,0.0,HFP,0.28,549.5403200000001,0.0,0.0,109.1640966618604,1.0,59.644000000000005,1903.0,1962.644,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2886.689477778584,50.468,2360,2410.468,50.468,389.8717737923585,2360.0,76.22147777858436,400.0,charge,0.0,0.0,0.0,0.0,0.0,78.48076606885377,1569.6153213770754,0.0,HFP,0.28,674.93104,0.0,0.0,109.1640966618604,1.0,50.468,2360.0,2410.468,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2753.9233644013825,59.644000000000005,2466,2525.6440000000002,59.644000000000005,389.8717737923585,2294.2793644013827,0.0,400.0,charge,0.0,0.0,0.0,171.72063559861726,171.72063559861726,97.97435475847169,1959.4870951694338,0.0,HFP,0.28,707.1803200000002,0.0,0.0,109.1640966618604,1.0,59.644000000000005,2466.0,2525.6440000000002,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2853.0221082770177,68.82,2404,2472.82,68.82,40.51290483056613,2404.0,338.63674494077077,41.56536333624692,charge,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,692.3896000000001,0.0,0.0,11.343613352558517,1.0,68.82,2404.0,2472.82,40.51290483056613,0.0,-40.51290483056613,100.0,CRITICAL
2886.689477778584,87.17199999999997,2388,2475.172,87.17199999999997,0.0,2388.0,411.5174777785842,0.0,idle,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,693.04816,0.0,0.0,0.0,1.0,87.17199999999997,2388.0,2475.172,0.0,0.0,0.0,0.0,OK
2402.349270466001,100.93599999999996,2446,2546.936,100.93599999999996,0.0,2301.413270466001,0.0,400.0,discharge,0.0,389.8717737923585,0.0,0.0,0.0,80.0,1600.0,176.2610289315253,HFP,0.28,713.1420800000001,109.1640966618604,0.0,0.0,1.0,100.93599999999996,2056.1282262076415,2157.0642262076417,0.0,389.8717737923585,389.8717737923585,38987.17737923585,CRITICAL
776.8904836649277,114.69999999999992,2315,2429.7,114.69999999999992,389.8717737923585,262.1904836649278,0.0,400.0,charge,0.0,0.0,0.0,2052.809516335072,2052.809516335072,99.49358868961792,1989.8717737923587,0.0,HFP,0.28,680.316,0.0,0.0,109.1640966618604,1.0,114.69999999999992,2315.0,2429.7,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
163.1177754666644,123.87599999999992,2267,2390.8759999999997,123.87599999999992,0.0,39.24177546666448,0.0,376.53405521525156,discharge,0.0,367.0,0.0,1860.7582245333356,1860.7582245333356,80.66688592885535,1613.337718577107,165.9207,HFP,0.28,669.44528,102.76,0.0,0.0,1.0,123.87599999999992,1900.0,2023.876,0.0,367.0,367.0,36700.0,CRITICAL
0.0,128.4639999999999,2254,2382.464,0.0,0.0,0.0,0.0,363.19633663814454,discharge,0.0,354.0,128.4639999999999,1900.0,2028.464,62.50706909694812,1250.1413819389625,160.0434,HP,0.45,1072.1088,159.3,60.17999999999999,0.0,1.607142857142857,128.4639999999999,1900.0,2028.464,0.0,354.0,354.0,35400.0,CRITICAL
0.0,128.4639999999999,2215,2343.464,0.0,0.0,0.0,0.0,323.18318090682357,discharge,0.0,315.0,128.4639999999999,1900.0,2028.464,46.347910051606945,926.9582010321388,142.4115,HP,0.45,1054.5588,141.75,53.55,0.0,1.607142857142857,128.4639999999999,1900.0,2028.464,0.0,315.0,315.0,31500.0,CRITICAL
