hour,solar_kw,bess_soc_percent,mall_load_kw
252,2024-01-11 12:00:00-05:00,2024-01-11 12:00:00,11/01/2024 12:00;2188
253,2024-01-11 13:00:00-05:00,2024-01-11 13:00:00,11/01/2024 13:00;2215
254,2024-01-11 14:00:00-05:00,2024-01-11 14:00:00,11/01/2024 14:00;2260
255,2024-01-11 15:00:00-05:00,2024-01-11 15:00:00,11/01/2024 15:00;2313
256,2024-01-11 16:00:00-05:00,2024-01-11 16:00:00,11/01/2024 16:00;2274
257,2024-01-11 17:00:00-05:00,2024-01-11 17:00:00,11/01/2024 17:00;2260
258,2024-01-11 18:00:00-05:00,2024-01-11 18:00:00,11/01/2024 18:00;2254
259,2024-01-11 19:00:00-05:00,2024-01-11 19:00:00,11/01/2024 19:00;2232
260,2024-01-11 20:00:00-05:00,2024-01-11 20:00:00,11/01/2024 20:00;2191
261,2024-01-11 21:00:00-05:00,2024-01-11 21:00:00,11/01/2024 21:00;1972
262,2024-01-11 22:00:00-05:00,2024-01-11 22:00:00,11/01/2024 22:00;1103
263,2024-01-11 23:00:00-05:00,2024-01-11 23:00:00,11/01/2024 23:00;708
264,2024-01-12 00:00:00-05:00,2024-01-12 00:00:00,12/01/2024 00:00;622
265,2024-01-12 01:00:00-05:00,2024-01-12 01:00:00,12/01/2024 01:00;588
266,2024-01-12 02:00:00-05:00,2024-01-12 02:00:00,12/01/2024 02:00;594
267,2024-01-12 03:00:00-05:00,2024-01-12 03:00:00,12/01/2024 03:00;584
268,2024-01-12 04:00:00-05:00,2024-01-12 04:00:00,12/01/2024 04:00;561
269,2024-01-12 05:00:00-05:00,2024-01-12 05:00:00,12/01/2024 05:00;536
270,2024-01-12 06:00:00-05:00,2024-01-12 06:00:00,12/01/2024 06:00;605
271,2024-01-12 07:00:00-05:00,2024-01-12 07:00:00,12/01/2024 07:00;742
272,2024-01-12 08:00:00-05:00,2024-01-12 08:00:00,12/01/2024 08:00;962
273,2024-01-12 09:00:00-05:00,2024-01-12 09:00:00,12/01/2024 09:00;1078
274,2024-01-12 10:00:00-05:00,2024-01-12 10:00:00,12/01/2024 10:00;1639
275,2024-01-12 11:00:00-05:00,2024-01-12 11:00:00,12/01/2024 11:00;2002
276,2024-01-12 12:00:00-05:00,2024-01-12 12:00:00,12/01/2024 12:00;2085
277,2024-01-12 13:00:00-05:00,2024-01-12 13:00:00,12/01/2024 13:00;2104
278,2024-01-12 14:00:00-05:00,2024-01-12 14:00:00,12/01/2024 14:00;2139
279,2024-01-12 15:00:00-05:00,2024-01-12 15:00:00,12/01/2024 15:00;2209
280,2024-01-12 16:00:00-05:00,2024-01-12 16:00:00,12/01/2024 16:00;2222
281,2024-01-12 17:00:00-05:00,2024-01-12 17:00:00,12/01/2024 17:00;2195
282,2024-01-12 18:00:00-05:00,2024-01-12 18:00:00,12/01/2024 18:00;2185
283,2024-01-12 19:00:00-05:00,2024-01-12 19:00:00,12/01/2024 19:00;2157
284,2024-01-12 20:00:00-05:00,2024-01-12 20:00:00,12/01/2024 20:00;2144
285,2024-01-12 21:00:00-05:00,2024-01-12 21:00:00,12/01/2024 21:00;1972
286,2024-01-12 22:00:00-05:00,2024-01-12 22:00:00,12/01/2024 22:00;1175
287,2024-01-12 23:00:00-05:00,2024-01-12 23:00:00,12/01/2024 23:00;711
288,2024-01-13 00:00:00-05:00,2024-01-13 00:00:00,13/01/2024 00:00;628
289,2024-01-13 01:00:00-05:00,2024-01-13 01:00:00,13/01/2024 01:00;584
290,2024-01-13 02:00:00-05:00,2024-01-13 02:00:00,13/01/2024 02:00;523
291,2024-01-13 03:00:00-05:00,2024-01-13 03:00:00,13/01/2024 03:00;517
