is_hora_punta,tarifa_soles_kwh,mall_cost_soles,mall_co2_indirect_kg
0,0.2916,439.7328,588.7232
0,0.2916,549.9576,736.2944
0,0.2916,585.8244,784.3136
0,0.2916,602.154,806.17596
0,0.2916,609.1524,815.5456
0,0.2916,611.1936,818.2784
0,0.2916,621.9828,832.7232
0,0.2916,618.19196,827.648
1,0.4616,943.0488,1185.9615
1,0.4616,927.81604,1166.805
1,0.4616,920.892,1158.0975
1,0.4616,886.7336,1115.1405
1,0.4616,545.1496,685.5705
0,0.2916,214.32599,286.944
0,0.2916,174.3768,233.4592
0,0.2916,160.0884,214.32959
0,0.2916,161.25479,215.89119
0,0.2916,157.46399,210.816
0,0.2916,156.006,208.864
0,0.2916,153.67319,205.7408
0,0.2916,162.1296,217.0624
0,0.2916,172.33559,230.7264
0,0.2916,204.41159,273.67038
0,0.2916,293.34958,392.7424
0,0.2916,493.97037,661.3376
0,0.2916,598.0716,800.7104
0,0.2916,603.90356,808.5184
0,0.2916,626.0652,838.1888
0,0.2916,635.1048,850.2912
0,0.2916,618.77515,828.4288
0,0.2916,640.06195,856.928
0,0.2916,637.146,853.024
1,0.4616,1012.7504,1273.6171
1,0.4616,959.6664,1206.8595
1,0.4616,917.6608,1154.034
1,0.4616,836.4192,1051.866
1,0.4616,485.1416,610.1055
0,0.2916,196.2468,262.7392
0,0.2916,168.25319,225.2608
0,0.2916,163.0044,218.2336
0,0.2916,162.1296,217.0624
0,0.2916,158.922,212.76799
0,0.2916,156.29759,209.2544
0,0.2916,152.2152,203.7888
0,0.2916,171.4608,229.55519
0,0.2916,190.70639,255.3216
0,0.2916,266.5224,356.8256
0,0.2916,328.63318,439.9808
0,0.2916,515.8404,690.6176
0,0.2916,640.06195,856.928
0,0.2916,667.1808,893.23517
0,0.2916,655.80835,878.0096
0,0.2916,656.9748,879.57117
0,0.2916,658.1412,881.1328
0,0.2916,666.88916,892.8448
0,0.2916,655.80835,878.0096
1,0.4616,1021.0592,1284.066
1,0.4616,1007.21124,1266.651
1,0.4616,957.3584,1203.957
1,0.4616,842.8816,1059.993
1,0.4616,494.8352,622.296
0,0.2916,203.2452,272.1088
0,0.2916,180.5004,241.6576
0,0.2916,174.3768,233.4592
0,0.2916,166.21199,222.528
0,0.2916,163.0044,218.2336
0,0.2916,161.25479,215.89119
0,0.2916,154.54799,206.912
0,0.2916,172.33559,230.7264
0,0.2916,220.44958,295.1424
0,0.2916,276.4368,370.09918
0,0.2916,310.2624,415.3856
0,0.2916,465.68518,623.4688
0,0.2916,598.0716,800.7104
0,0.2916,646.18555,865.1264
0,0.2916,637.146,853.024
0,0.2916,642.10315,859.66077
0,0.2916,589.9068,789.7792
0,0.2916,634.23,849.12
0,0.2916,659.30756,882.6944
1,0.4616,1043.2161,1311.93
1,0.4616,1027.06,1291.6125
1,0.4616,1022.44403,1285.8075
1,0.4616,903.8128,1136.619
1,0.4616,527.6088,663.51154
0,0.2916,216.36719,289.6768
0,0.2916,183.4164,245.5616
0,0.2916,171.16919,229.1648
0,0.2916,173.502,232.288
0,0.2916,167.37839,224.0896
0,0.2916,168.25319,225.2608
0,0.2916,167.08679,223.69919
0,0.2916,182.25,244.0
0,0.2916,237.3624,317.78558
0,0.2916,295.6824,395.8656
0,0.2916,332.42398,445.056
0,0.2916,510.88318,683.9808
0,0.2916,638.604,854.976
0,0.2916,665.1396,890.5024
0,0.2916,658.72437,881.9136
0,0.2916,667.1808,893.23517
0,0.2916,670.38837,897.5296
0,0.2916,683.21875,914.70715
0,0.2916,687.30115,920.1728
1,0.4616,1072.2968,1348.5015
1,0.4616,1027.5216,1292.193
1,0.4616,995.6712,1252.1385
1,0.4616,894.1192,1124.4285
1,0.4616,537.764,676.28253
0,0.2916,222.19919,297.4848
0,0.2916,189.83159,254.15039
0,0.2916,181.3752,242.8288
0,0.2916,175.5432,235.0208
0,0.2916,172.33559,230.7264
0,0.2916,168.5448,225.6512
0,0.2916,161.25479,215.89119
0,0.2916,174.6684,233.8496
0,0.2916,219.5748,293.9712
0,0.2916,286.3512,383.3728
