Hour,non_shiftable_load
4601,2364.5406356064923
4602,1863.2402262076414
4603,1819.2402262076414
4604,1823.1802262076412
4605,1542.2275906011491
4606,1066.0
4607,585.0
4608,506.0
4609,496.0
4610,486.0
4611,475.0
4612,442.0
4613,409.0
4614,557.0
4615,671.0
4616,894.0
4617,1230.528
4618,1728.468
4619,2279.408
4620,2327.056
4621,2313.82
4622,2314.172
4623,2388.172
4624,2426.7
4625,2401.288
4626,2022.7682262076414
4627,1960.1802262076412
4628,1949.9442262076413
4629,1602.1282262076415
4630,1194.9999999999998
4631,648.0
4632,555.0
4633,513.0
4634,498.0
4635,490.0
4636,488.0
4637,459.0
4638,651.0
4639,768.0
4640,841.0
4641,1061.88
4642,1604.468
4643,2235.6440000000002
4644,2353.996
4645,2323.82
4646,2211.348
4647,2217.524
4648,2218.112
4649,2215.288
4650,1843.7682262076414
4651,1834.9442262076413
4652,1838.3562262076414
4653,1614.1282262076415
4654,1265.0
4655,576.0
4656,472.0
4657,433.0
4658,426.0
4659,421.0
4660,409.0
4661,388.0
4662,538.0
4663,683.0
4664,834.0
4665,922.352
4666,1389.116
4667,1901.644
4668,2031.76
4669,2175.584
4670,2245.112
4671,2228.7599999999998
4672,2196.936
4673,2193.112
4674,1799.0042262076413
4675,1729.3562262076414
4676,1703.9442262076413
4677,1464.1282262076415
4678,1169.9999999999998
4679,547.0
4680,461.0
4681,430.0
4682,429.0
4683,429.0
4684,417.0
4685,382.0
4686,417.0
4687,435.0
4688,533.0
4689,858.704
4690,1397.292
4691,1800.468
4692,1838.232
4693,1881.82
4694,1960.76
4695,1955.524
4696,1961.6999999999998
4697,1972.936
4698,1610.4162262076413
4699,1617.1802262076412
4700,1599.1802262076412
4701,1290.1282262076415
4702,969.9999999999999
4703,538.0
4704,457.0
4705,415.0
4706,416.0
4707,414.0
4708,408.0
4709,381.0
4710,528.0
4711,623.0
4712,748.0
4713,1066.292
4714,1538.88
4715,2030.056
4716,2094.408
4717,2062.996
4718,2129.348
4719,2131.7599999999998
4720,2155.348
4721,2157.8759999999997
4722,1722.0042262076413
4723,1699.3562262076414
4724,1644.8282262076414
4725,1386.1282262076415
4726,1071.9999999999998
4727,543.0
4728,467.0
4729,424.0
4730,423.0
4731,426.0
4732,411.0
4733,379.0
4734,509.0
4735,592.0
4736,703.0
4737,921.116
4738,1538.292
4739,2034.232
4740,2103.584
4741,2123.584
4742,2149.936
4743,2221.0519999999997
4744,2187.112
4745,2167.7
4746,1745.4162262076413
4747,1714.8282262076414
4748,1703.7682262076414
4749,1392.1282262076415
4750,1145.9999999999998
4751,578.0
4752,490.0
4753,439.0
4754,426.0
4755,430.0
4756,418.0
4757,410.0
4758,557.0
4759,661.0
4760,789.0
4761,991.528
4762,1496.116
4763,1934.644
4764,1948.82
4765,2125.524
4766,2149.408
4767,2234.524
4768,2229.524
4769,2179.112
4770,1774.8882262076413
4771,1780.4162262076413
4772,1740.6522262076414
4773,1474.1282262076415
4774,1104.0
4775,623.0
4776,493.0
4777,434.0
4778,411.0
4779,406.0
4780,397.0
4781,382.0
4782,565.0
4783,662.0
4784,788.0
4785,1030.352
4786,1752.528
4787,2181.528
4788,2250.996
4789,2239.996
4790,2246.408
4791,2310.524
4792,2300.0519999999997
4793,2220.288
4794,1865.7682262076414
4795,1835.7682262076414
4796,1838.9442262076413
4797,1529.1282262076415
4798,1137.9999999999998
4799,537.0
4800,473.0
4801,429.0
4802,414.0
4803,406.0
4804,398.0
4805,377.0
4806,527.0
4807,648.0
4808,790.0
4809,1058.468
4810,1617.056
4811,2085.6440000000002
4812,2132.408
4813,2104.6440000000002
4814,2180.7599999999998
4815,2184.936
4816,2192.936
4817,2240.172
4818,2003.5922262076415
4819,2011.7082262076415
4820,1963.5322262076413
4821,1719.1282262076418
4822,1276.0
4823,575.0
4824,485.0
4825,451.0
4826,442.0
4827,440.0
4828,436.0
4829,417.0
4830,542.0
4831,670.0
4832,864.0
4833,1110.94
4834,1728.468
4835,2234.996
4836,2219.584
4837,2261.936
4838,2277.996
4839,2228.112
4840,2175.64
4841,2139.7
4842,1732.4162262076413
4843,1708.2402262076414
4844,1717.0042262076413
4845,1508.1282262076415
4846,1184.9999999999998
4847,564.0
4848,475.0
4849,438.0
4850,437.0
4851,429.0
4852,413.0
4853,383.0
4854,392.0
4855,414.0
4856,521.0
4857,992.528
4858,1702.82
4859,2157.88
4860,2196.88
4861,2245.7599999999998
4862,2288.82
4863,2262.172
4864,2307.7
4865,2286.936
4866,1896.8282262076414
4867,1819.1802262076412
4868,1763.5922262076415
4869,1458.1282262076415
4870,1136.0
4871,558.0
4872,479.0
4873,419.0
4874,413.0
4875,410.0
4876,409.0
4877,391.0
4878,563.0
4879,665.0
4880,741.0
4881,921.528
4882,1408.88
4883,1977.232
4884,2207.468
4885,2193.408
4886,2234.112
4887,2282.936
4888,2272.7
4889,2252.464
4890,1831.1802262076412
4891,1791.5922262076415
4892,1794.9442262076413
4893,1458.1282262076415
4894,1059.0
4895,545.0
4896,462.0
4897,429.0
4898,411.0
4899,407.0
4900,401.0
4901,378.0
4902,390.0
4903,532.0
4904,826.0
4905,1150.528
4906,1737.88
4907,2160.292
4908,2248.6440000000002
4909,2297.348
4910,2316.996
4911,2384.936
4912,2419.936
4913,2439.64
4914,2004.7682262076414
4915,1990.3562262076414
4916,1946.5322262076413
4917,1637.1282262076415
4918,1241.0
4919,638.0
4920,532.0
4921,483.0
4922,471.0
4923,470.0
4924,467.0
4925,464.0
4926,593.0
4927,734.0
4928,976.0
4929,1176.704
4930,1741.82
4931,2246.6440000000002
4932,2266.7599999999998
4933,2130.348
4934,2204.524
4935,2165.584
4936,2182.524
4937,2162.7
4938,1780.5922262076415
4939,1749.1802262076412
4940,1728.7682262076414
4941,1456.1282262076415
4942,1129.0
4943,682.0
4944,590.0
4945,534.0
4946,527.0
4947,509.0
4948,502.0
4949,473.0
4950,597.0
4951,704.0
4952,790.0
4953,1059.88
4954,1636.468
4955,2394.056
4956,2546.232
4957,2517.172
4958,2488.584
4959,2494.524
4960,2516.7
4961,2529.288
