Month,Hour,Day Type,solar_generation
6,22,4,0.009330599762387804
6,23,4,0.0
6,0,5,0.0
6,1,5,0.0
6,2,5,0.0
6,3,5,0.0
6,4,5,0.0
6,5,5,0.0
6,6,5,0.0
6,7,5,0.0
6,8,5,0.0
6,9,5,0.0
6,10,5,0.0
6,11,5,0.04975528717346537
6,12,5,0.20967078522503085
6,13,5,0.2793034032217741
6,14,5,0.3235633631020926
6,15,5,0.4016008525060693
6,16,5,0.44611608008071085
6,17,5,0.5097185241279951
6,18,5,0.5735995497683138
6,19,5,0.44569857941276664
6,20,5,0.29743978948981287
6,21,5,0.13062881731017412
6,22,5,0.014090064156821763
6,23,5,0.0
7,0,6,0.0
7,1,6,0.0
7,2,6,0.0
7,3,6,0.0
7,4,6,0.0
7,5,6,0.0
7,6,6,0.0
7,7,6,0.0
7,8,6,0.0
7,9,6,0.0
7,10,6,0.0
7,11,6,0.06138604596282363
7,12,6,0.2768591252871666
7,13,6,0.45449559473959167
7,14,6,0.6023865228574881
7,15,6,0.5986315017221098
7,16,6,0.48342174390048004
7,17,6,0.3302898847960251
7,18,6,0.449149416604705
7,19,6,0.3964443883278302
7,20,6,0.27858060887256025
7,21,6,0.13054449473484458
7,22,6,0.014638292258567423
7,23,6,0.0
7,0,7,0.0
7,1,7,0.0
7,2,7,0.0
7,3,7,0.0
7,4,7,0.0
7,5,7,0.0
7,6,7,0.0
7,7,7,0.0
7,8,7,0.0
7,9,7,0.0
7,10,7,0.0
7,11,7,0.0471372870891835
7,12,7,0.2569945626509781
7,13,7,0.4900739893313549
7,14,7,0.5864517024977423
7,15,7,0.6419656773839627
7,16,7,0.6453672264550854
7,17,7,0.535406691842479
7,18,7,0.46106972650378586
7,19,7,0.3811541137579559
7,20,7,0.2839083824377877
7,21,7,0.13040356612381526
7,22,7,0.016141982423471413
7,23,7,0.0
7,0,1,0.0
7,1,1,0.0
7,2,1,0.0
7,3,1,0.0
7,4,1,0.0
7,5,1,0.0
7,6,1,0.0
7,7,1,0.0
7,8,1,0.0
7,9,1,0.0
7,10,1,0.0
