hour,pv_kwh,ev_kwh,mall_kwh,pv_used_ev_kwh,pv_used_mall_kwh,bess_charge_kwh,bess_discharge_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_export_kwh,soc_percent,soc_kwh,load_kwh,net_balance_kwh,grid_import_kwh,mall_grid_import_kwh,ev_grid_import_kwh
10,2404.5234590470754,17.804215543788352,1838.7209302325584,17.804215543788352,1838.7209302325584,2.876090949399668e-06,0.0,0.0,0.0,547.9983103946377,99.99999999553772,1631.9999999271756,1856.5251457763468,547.9983132707287,0.0,0.0,0.0
11,2717.7401766770013,27.60520112395573,1576.046511627907,27.60520112395573,1576.046511627907,7.282432790134408e-08,0.0,0.0,0.0,1114.0884638523144,99.99999999988701,1631.999999998156,1603.6517127518628,1114.0884639251385,0.0,0.0,0.0
12,2830.9633047890443,39.7983759956669,1576.046511627907,39.7983759956669,1576.046511627907,1.8439543225667876e-09,0.0,0.0,0.0,1215.1184171636264,99.99999999999713,1631.9999999999532,1615.8448876235739,1215.1184171654704,0.0,0.0,0.0
13,2717.7401766770013,55.97349239617671,1576.046511627907,55.97349239617671,1576.046511627907,4.674660658565699e-11,0.0,0.0,0.0,1085.7201726528706,99.99999999999993,1631.9999999999986,1632.0200040240836,1085.7201726529177,0.0,0.0,0.0
14,2404.5234590470754,67.0072323054566,1576.046511627907,67.0072323054566,1576.046511627907,1.2683187833317788e-12,0.0,0.0,0.0,761.4697151137107,100.0,1632.0,1643.0537439333636,761.4697151137118,0.0,0.0,0.0
15,1960.638342847462,68.0,1576.046511627907,68.0,1576.046511627907,0.0,0.0,0.0,0.0,316.59183121955493,100.0,1632.0,1644.046511627907,316.59183121955493,0.0,0.0,0.0
16,1473.375194582625,68.0,1838.7209302325584,68.0,1405.375194582625,0.0,0.0,0.0,433.34573564993343,0.0,100.0,1632.0,1906.7209302325584,-433.34573564993343,433.34573564993343,433.34573564993343,0.0
17,1020.4144628127904,68.0,2101.3953488372094,68.0,952.4144628127904,0.0,0.0,0.0,1148.980886024419,0.0,100.0,1632.0,2169.3953488372094,-1148.980886024419,1148.980886024419,1148.980886024419,0.0
18,0.0,68.0,2101.3953488372094,0.0,0.0,0.0,68.0,0.0,2101.3953488372094,0.0,95.7250901996452,1562.2334720582096,2169.3953488372094,-2169.3953488372094,2101.3953488372094,2101.3953488372094,0.0
19,0.0,68.0,1838.7209302325584,0.0,0.0,0.0,68.0,0.0,1838.7209302325584,0.0,91.45018039929039,1492.466944116419,1906.7209302325584,-1906.7209302325584,1838.7209302325584,1838.7209302325584,0.0
20,0.0,68.0,1576.046511627907,0.0,0.0,0.0,68.0,0.0,1576.046511627907,0.0,87.17527059893557,1422.7004161746286,1644.046511627907,-1644.046511627907,1576.046511627907,1576.046511627907,0.0
21,0.0,53.455744480595186,1313.3720930232557,0.0,0.0,0.0,53.455744480595186,0.0,1313.3720930232557,0.0,83.81470462885676,1367.8559795429424,1366.827837503851,-1366.827837503851,1313.3720930232557,1313.3720930232557,0.0
22,0.0,11.882117733723067,1050.6976744186047,0.0,0.0,0.0,11.882117733723067,0.0,1050.6976744186047,0.0,83.06771960607936,1355.6651839712154,1062.5797921523279,-1062.5797921523279,1050.6976744186047,1050.6976744186047,0.0
23,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
0,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
1,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
2,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
3,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
4,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
5,383.2695020605885,11.882117733723067,1050.6976744186047,11.882117733723067,95.05256829808076,276.33481602878464,0.0,0.0,955.6451061205239,0.0,99.5712650848979,1625.0030461855338,1062.5797921523279,-679.3102900917394,955.6451061205239,955.6451061205239,0.0
6,651.5477246396656,11.882117733723067,1313.3720930232557,11.882117733723067,632.6686530914762,6.996953814466313,0.0,0.0,680.7034399317795,0.0,99.98914418949182,1631.8228331725068,1325.2542107569789,-673.7064861173133,680.7034399317795,680.7034399317795,0.0
7,1020.7880838672036,11.882117733723067,1576.046511627907,11.882117733723067,1008.7287993059872,0.17716682749333756,0.0,0.0,567.3177123219198,0.0,99.99972512473877,1631.9955140357367,1587.92862936163,-567.1405454944265,567.3177123219198,567.3177123219198,0.0
8,1473.9146655660418,11.882117733723067,1838.7209302325584,11.882117733723067,1462.0280618680554,0.004485964263277964,0.0,0.0,376.69286836450306,0.0,99.99999304000295,1631.9998864128481,1850.6030479662816,-376.6883824002398,376.69286836450306,376.69286836450306,0.0
9,1961.356223465264,12.65244308340683,1838.7209302325584,12.65244308340683,1838.7209302325584,0.00011358715196152502,0.0,0.0,0.0,109.98273656214701,99.99999982376893,1631.999997123909,1851.3733733159652,109.98285014929888,0.0,0.0,0.0
